ProductName,PrimaryCategory,SubCategory,Label,Combination,Price,Rank,ChemicalName,ChemicalCount,Dry,Normal,Oily,Sensitive,TotalChemicalScore
METEORITES - BUBBLE BLUSH - GEL BLUSH - COOLING EFFECT,Makeup Products (non-permanent),Blushes ,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - BUBBLE BLUSH - GEL BLUSH - COOLING EFFECT,Makeup Products (non-permanent),Blushes ,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
METEORITES - BUBBLE BLUSH - GEL BLUSH - COOLING EFFECT,Makeup Products (non-permanent),Blushes ,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
METEORITES - ELECTRIC PEARL - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - ELECTRIC PEARL - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - ELECTRIC PEARL - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
METEORITES - ELECTRIC PEARL - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
METEORITES - HAPPY GLOW BLUSH - LIGHT-SCULPTING COMPACTED POWDER PEARLS OF POWDER,Makeup Products (non-permanent),Blushes ,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - HAPPY GLOW BLUSH - LIGHT-SCULPTING COMPACTED POWDER PEARLS OF POWDER,Makeup Products (non-permanent),Blushes ,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - HAPPY GLOW BLUSH - LIGHT-SCULPTING COMPACTED POWDER PEARLS OF POWDER,Makeup Products (non-permanent),Blushes ,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
METEORITES - HAPPY GLOW BLUSH - LIGHT-SCULPTING COMPACTED POWDER PEARLS OF POWDER,Makeup Products (non-permanent),Blushes ,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
METEORITES - HAPPY GLOW PEARLS - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - HAPPY GLOW PEARLS - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - HAPPY GLOW PEARLS - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
METEORITES - HAPPY GLOW PEARLS - LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
METEORITES - HIGHLIGHTER DUO - HOLOGRAPHIC POWDER,Makeup Products (non-permanent),Face Powders,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - HIGHLIGHTER DUO - HOLOGRAPHIC POWDER,Makeup Products (non-permanent),Face Powders,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - HIGHLIGHTER DUO - HOLOGRAPHIC POWDER,Makeup Products (non-permanent),Face Powders,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
METEORITES - HIGHLIGHTER DUO - HOLOGRAPHIC POWDER,Makeup Products (non-permanent),Face Powders,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
METEORITES - LIGHT-REVEALING PEARLS OF POWDER - 2 CLAIR,Makeup Products (non-permanent),Face Powders,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - LIGHT-REVEALING PEARLS OF POWDER - 2 CLAIR,Makeup Products (non-permanent),Face Powders,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - LIGHT-REVEALING PEARLS OF POWDER - 2 CLAIR,Makeup Products (non-permanent),Face Powders,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
METEORITES - LIGHT-REVEALING PEARLS OF POWDER - 2 CLAIR,Makeup Products (non-permanent),Face Powders,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
METEORITES - MINIATURE PEARLS COLLECTION - DUO OF LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - MINIATURE PEARLS COLLECTION - DUO OF LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - MINIATURE PEARLS COLLECTION - DUO OF LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
METEORITES - MINIATURE PEARLS COLLECTION - DUO OF LIGHT-REVEALING PEARLS OF POWDER,Makeup Products (non-permanent),Face Powders,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
METEORITES - MY PALETTE - COLOUR CORRECTING & BLOTTING POWDER - BLUSH - HIGHLIGHTER,Makeup Products (non-permanent),Blushes ,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - MY PALETTE - COLOUR CORRECTING & BLOTTING POWDER - BLUSH - HIGHLIGHTER,Makeup Products (non-permanent),Blushes ,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - MY PALETTE - COLOUR CORRECTING & BLOTTING POWDER - BLUSH - HIGHLIGHTER,Makeup Products (non-permanent),Blushes ,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
METEORITES - MY PALETTE - COLOUR CORRECTING & BLOTTING POWDER - BLUSH - HIGHLIGHTER,Makeup Products (non-permanent),Blushes ,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
METEORITES - MY PALETTE - COLOUR CORRECTING & BLOTTING POWDER - BLUSH - HIGHLIGHTER,Makeup Products (non-permanent),Face Powders,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - MY PALETTE - COLOUR CORRECTING & BLOTTING POWDER - BLUSH - HIGHLIGHTER,Makeup Products (non-permanent),Face Powders,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
METEORITES - MY PALETTE - COLOUR CORRECTING & BLOTTING POWDER - BLUSH - HIGHLIGHTER,Makeup Products (non-permanent),Face Powders,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
METEORITES - MY PALETTE - COLOUR CORRECTING & BLOTTING POWDER - BLUSH - HIGHLIGHTER,Makeup Products (non-permanent),Face Powders,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
